	vclaim	title
3919	Breaking a mirror brings seven years of bad luck.	Breaking a Mirror
3273	Amazon is giving out free $200 gift cards to Facebook users.	Free $200 Amazon Gift Card
7751	President Obama passed a law requiring grandparents to pick up pick up their grandchildren every weekend.	Grandparents to ‘Get All Their Grandchildren Every Weekend’
753	U.S. Reps. Ilhan Omar and Alexandria Ocasio-Cortez are polling at 8 percent and 21 percent respectively.	Are U.S. Reps. Ilhan Omar and AOC Polling at 8 Percent, 21 Percent Respectively?
8269	Several students tripping on LSD stared at the sun until blinded.	LSD Users Stare at Sun
2090	A photograph shows a U.S. Border Patrol agent who was injured by a thrown rock in November 2018.	Does This Photograph Show a Border Patrol Agent Injured by a Thrown Rock?
3503	An image shows a real flyer for a 'Freedom Concert' scheduled for Inauguration Day.	‘Freedom Concert’ Being Planned, But No Details Announced
687	"The animated film ""Incredibles 2"" contains scenes that prompted an epilepsy warning at movie theaters."	Does ‘Incredibles 2’ Come With an Epilepsy Warning?
5961	John Lennon deliberately chose the song title Lucy in the Sky with Diamonds because the initial letters of key words form the acrostic “LSD”.	Lucy in the Sky with Diamonds LSD
8660	The 'Tide pod challenge' is a real viral phenomenon whereby people bite into Tide brand laundry detergent pods.	Is the ‘Tide Pod Challenge’ a Real Thing?
9232	The character 'Rudolph the Red-Nosed Reindeer' was created by a father to bring comfort to his daughter as her mother was dying of cancer.	The Origins of Rudolph the Red-Nosed Reindeer
4100	Cesar Millan has died.	Cesar Millan Dead?
7744	President Obama opted to skip Nancy Reagan's funeral in order to 'party' at an 'entertainment festival.'	Did Barack Obama Skip Nancy Reagan’s Funeral to ‘Party’?
8652	That Hillary Clinton opposed sanctions against Russia because of speaking fees her husband received from a Russian bank, and that the Clinton campaign used undue influence to kill a Bloomberg story about the incident.	Did Hillary Clinton Side With Kremlin on Sanctions Due to a $500,000 Payment to Bill?
4524	Donald Trump admitted on Twitter that he was a political plant for Hillary Clinton.	Donald Trump Just Admitted He Was a Hillary Clinton Plant the Whole Time
7587	Prayers requested for Jordon Mills, who has Crohn’s Disease and is in Intensive Care.	Prayer Request: Jordon Mills
4368	Criminals in the U.S. are using burundanga-soaked business cards to incapacitate their victims.	Burundanga/Scopolamine Warning
154	ABC, CBS, NBC, MSNBC, NPR, PBS all refused to cover abortionist who kept 2,246 aborted babies.	Did Mainstream Media Outlets ‘Refuse’ to Cover Abortion Doctor Ulrich Klopfer?
2515	A series of photographs shows members of a migrant caravan on their way to the U.S. in October 2018 burning the U.S. flag.	Are Central American Caravan Members Burning the American Flag?
8927	The Michigan Department of Treasury issued an alert about fraudulent e-mail notifications of Internal Revenue Service “e-audits.”	IRS Audit Scam
7107	Photograph shows a store’s display window presenting books about Barack Obama with a book about monkeys.	Book Display
6263	Marine Corps Capt. Jim Lowe was told he can't fly both an American flag and Marine Corps colors outside his home.	Was a Marine Told He Can’t Fly U.S. and Marine Corps Flags at the Same Time?
7784	President Obama will legalize marijuana if one million people call a designated phone number.	Poll to Legalize Marijuana
1705	A man turned himself in to police for killing his make-believe companion.	Florida Man Turns Himself in for Murdering Imaginary Friend?
6200	Lucky Strike cigarettes changed from a green package to a white one during the 1940s in order to aid the war effort.	Lucky Strike Logo Color Change
2355	A photograph shows the largest U.S. flag ever made, displayed in front of Hoover Dam.	Was the World’s Largest U.S. Flag Displayed at Hoover Dam?
6287	Maryland gangs are engaging in a deadly initiation game that requires new members to steal cars and shoot motorists on highways.	I-68 and I-70 Gang Initiation Warning
1416	A dog was elected as mayor of a small Kentucky town.	Was a Dog Elected Mayor of Rabbit Hash, Kentucky?
7629	President Donald Trump once said that 'faith is more powerful than government.'	Did President Trump Say That ‘Faith Is More Powerful Than Government?’
9278	The death from influenza of eight mostly vaccinated people over 65 in California's Santa Barbara County during the 2017-2018 flu season proves that you shouldn’t get the flu shot.	Less Effective Flu Shots ‘Prove’ You Shouldn’t Get Them at All?
10032	Video clip shows a hapless bungee jumper get his head bitten off by a crocodile.	Bungee Jumper Eaten by Crocodile
3086	Actor Andrew Lincoln died in a car crash in February 2017.	Andrew Lincoln Death Hoax
4840	E-mail sent from orbit captures Space Shuttle Columbia astronaut Laurel Clark’s final words to her family.	Laurel Clark
1965	A photograph shows 'Petey the Pelican' and a stray dog befriended by the large bird.	Did ‘Petey the Pelican’ Befriend a Stray Dog?
6097	Lead candle wicks pose a household risk.	Lead in Candle Wicks
9816	Two Maryland sheriff's deputies were shot and killed at a restaurant by a  vagrant.	Two Officers Shot and Killed by Vagrant at Maryland Restaurant
4620	Donald Trump tweeted and deleted a candid, regretful statement in the early hours of New Year's Day.	Did Donald Trump Tweet and Delete New Year’s Eve Regrets Over Winning?
1881	A person who gets what he deserves is said to have received his 'just desserts.'	Just Deserts
9320	The federal government is preventing Volkswagen’s XL1 model car from being sold in the U.S. because the vehicle is too fuel-efficient.	Is Volkswagen’s 300 MPG Car Banned in the U.S.?
1893	A photograph captured the injuries a man received when he set fire to the Nike shoes he was wearing.	Did a Man Injure Himself by Setting the Nike Shoes He Was Wearing on Fire?
5348	Guitarist Ron Wood lost a chance to join the Rolling Stones in 1969 because he missed a phone call.	Ron Wood and the Rolling Stones
6422	Middle Eastern men purchased dozens of burner cell phones at Walmarts in and around Lebanon, Missouri (ostensibly to carry out terror attacks); at the same time, multiple stores reported propane tank thefts.	Large Cell Phone Purchase Rumor
6321	McDonald’s will stop serving overweight customers beginning 1 January 2015.	McDonald’s Will Stop Serving Overweight Customers Beginning 1/1/15
2837	A video shows an amazingly human-like robot walking up a driveway.	Does This Video Show a Real Human-Like Robot?
5332	Gravity Payments CEO Dan Price rented his house in order to make ends meet after taking a $900,000 pay cut and raising the minimum salary at his company to $70,000.	Did Gravity Payments CEO Dan Price Have to Rent His House to Make Ends Meet?
1275	A book about Hitler quotes him as saying that he would start a third world war — after his death.	Did Adolf Hitler Say He Would Start World War III After His Death?
7247	Photographs show a 15-foot diamondback rattlesnake captured in Florida.	15-Foot Eastern Diamondback Rattlesnake
883	A 'secretly made Israeli intelligence video recording' captures 'Bill Clinton raping a 13-year-old girl.'	Video Showing Bill Clinton Rape of 13-Year-Old Girl Plunges Presidential Race Into Chaos
8434	Staffers on Bernie Sanders' campaign deliberately and improperly accessed information about the Hillary Clinton campaign during a brief (30-40 minute-long) data security lapse.	Bernie Sanders Campaign Data Breach Controversy
7363	Photographs show an albino ruby-throated hummingbird.	Albino Hummingbird
2317	A photograph shows medalist Jim Thorpe wearing mismatched shoes at the 1912 Olympics.	Did Jim Thorpe Wear Mismatched Shoes at the 1912 Olympics?
6091	Lawmakers 'slipped' the repeal of county of origin labeling for meat into the December 2015 Omnibus Appropriations Bill.	Country of Origin Meat Labeling Meme
1007	A Catholic priest placed an aborted fetus on the altar to urge parishioners to vote for Trump.	Did a Catholic Priest Put an Aborted Fetus on an Altar to Promote Republican Candidates?
8006	Republicans in Texas made significant cuts to Medicaid after they were 'emboldened' by the results of the 2016 general election.	Emboldened by Election, Texas Republicans Kill Medicaid Funding for Children with Disabilities?
2363	A photograph shows the remarkably clear Flathead Lake in Montana.	Flathead Lake
3477	An image showing two lynched men originated with the game 'Call of Duty: WWII.'	Does a ‘Call of Duty: WWII’ Still Show Two Men Hanging From a Tree?
3705	Athletes will be disqualified from Paralympic or Olympic events if they sport Olympics rings tattoos.	Athletes Will Not Be Disqualified for Olympic Rings Tattoos
6234	Man fooled into thinking he has been executed dies of a heart attack.	Fake Execution Heart Attack Death
2096	A photograph shows a baseball stadium repurposed as a residential neighborhood.	Was a Japanese Baseball Stadium Repurposed as a Residential Neighborhood?
720	"Tickets issued for President Trump's first State of the Union address contain a misspelling of the word ""union."""	Misspelled Tickets Issued for ‘State of the Uniom’ Address?
4936	Essential oils can be poisonous to pets.	Are Essential Oils Poisonous to Pets?
6068	Kurt Sutter is making a Sons of Anarchy movie with Brad Pitt.	Kurt Sutter Announces Plans for Sons of Anarchy Movie Starring Charlie Hunnam, Brad Pitt
9900	U.S. Sen. Bernie Sanders vowed to round up remaining members of ISIS and allow them to vote.	Did Bernie Sanders Vow to Round Up Remaining ISIS Members, Allow Them to Vote?
9246	The city of Sacramento is paying gang members $1.5 million to stop killing.	Is the City of Sacramento Paying Gang Members $1.5 Million Not to Kill?
3883	Black Lives Matter leader Marquesha Johnson was sued for embezzling millions of dollars in donations.	Did a Black Lives Matter Leader Get Sued for Embezzling Donations?
3696	At the 2018 World Economic Forum in Davos, Switzerland, President Trump told billionaire George Soros to 'go to hell.'	Did Trump Tell George Soros to ‘Go to Hell’ at Davos?
4793	E-mail from lawyer gives good advice about preventive steps to protect against credit card theft.	Credit Card Fraud Protection
8488	Students at Emory University were offered 'emergency counseling' after pro-Trump graffiti appeared overnight in campus 'safe spaces.'	Emory Students Traumatized by Trump Graffiti?
2527	A ship named HMS Romney was once used to help enforce import duties on the British North American colonies.	Was a 50-Gun Warship Named HMS Romney?
3453	An expletive-filled letter from “Saucy Jack” detailing conditions in Afghanistan was penned by a Marine serving there.	Saucy Jack Letter
9907	U.S. Senator Elizabeth Warren listed her race as 'American Indian' on her 1986 Texas State Bar registration card.	Did Sen. Elizabeth Warren Describe Her Race as ‘American Indian’ on Her 1986 Texas Bar Card?
3789	Battalion chaplain requests prayers for soldiers delivering voting machines and ballots in Iraq.	Shackelford Prayer Request
1488	A forthcoming Russian reality show called 'Game2: Winter' will permit contestants to commit crimes, including rape and murder.	Russian Reality Show ‘Game2: Winter’ Allows Rape, Murder?
10247	Witless for the Prosecution	Witless for the Prosecution
1575	A judge has called for the FBI and U.S. Marshals to arrest the President.	FALSE: Judge Calls U.S. Marshals, FBI to Arrest the President and Congress
2808	A video shows a pigeon 'saluting' Russian president Vladimir Putin.	Does This Video Show a Pigeon Saluting Vladimir Putin?
6650	New York mayor Fiorello La Guardia once took over a courtroom and charged everyone present 50¢ to pay the fine of an old woman accused of shoplifting a loaf of bread.	Fiorello La Guardia Legend
7200	Photograph shows tornado that hit Central Florida in February 2007.	Florida Tornado
2392	A photograph snapped during a tornado shows a Cthulhu-like tentacled figure in the sky.	Did a Tentacled Creature Appear in a Tornado?
315	El Paso County Sheriff Richard Wiles wrote a viral piece of text about the August 2019 mass shooting in El Paso, Texas.	Was a Statement About El Paso Mass Shooting Written by Sheriff?
1523	A golfer in the habit of carrying his tee in his mouth while playing holes grows sicker and sicker over the course of a few days and then drops dead. A post-mortem reveals that the golfer had ingested a lethal dose of the pesticide sprayed on the golf course.	Fatal Golf Tee
6401	Michelle Obama canceled a speaking appearance in Tacoma to avoid a protest by venue workers.	Did Michelle Obama Cancel a Speaking Appearance in Tacoma to Avoid a Labor Protest?
5594	Image shows a magazine’s 1985 projection of what Michael Jackson would look like at age 40.	Michael Jackson at 40
945	A 200-million-year old dinosaur egg recently hatched in a Berlin museum.	200-Million-Year Old Dinosaur Egg Hatches in Berlin Museum
7760	President Obama said that 'Muslims built the very fabric of our nation.'	Did Obama Say ‘Muslims Built the Fabric of Our Nation’?
1112	A Minnesota education worker asked on Twitter whether someone would 'take one for the team' by killing a newly-confirmed Supreme Court justice.	Did a School Employee Tweet ‘Who’s Gonna Take One for the Team and Kill Kavanaugh?’
1784	A moratorium on Internet taxation expires in 2007.	Internet Taxation Moratorium
4587	Donald Trump said reading 'Mein Kampf' in college had a profound effect on him and he has tremendous respect for Adolf Hitler as a leader.	Did Donald Trump Say ‘Mein Kampf’ Had a ‘Profound Effect’ on Him?
4384	Customers can “purchase” teenage brides through the web site MarryOurDaughter.com.	Marry Our Daughter
43	"A magazine advertisement from the 1950s promoted a handgun for women's use with the slogan ""for that strange, depraved creep who won't leave you alone."""	Is This a 1950s Women’s Magazine Ad for a Handgun to Shoot ‘Depraved Creeps’?
8972	The New York Times revealed Darren Wilson’s current residence address, then redacted it.	New York Times Published Darren Wilson’s Address?
7019	Photograph shows a Christian woman raped and murdered by Muslims in Syria.	Christian Woman Murdered in Syria
9034	The Simpsons correctly predicted various incidents that took place during Super Bowl LI.	Did ‘The Simpsons’ Predict Lady Gaga at Super Bowl LI?
7713	President Obama has signed an executive order banning the sale of assault weapons.	President Obama Signs Executive Order Banning the Sale of Assault Weapons
1113	A Minnesota man was jailed simply for possessing a windmill on his property.	Was a Minnesota Man Jailed for Having a Windmill on His Property?
3102	Actor Humphrey Bogart was born on Christmas Day.	Was Humphrey Bogart Born on Christmas Day?
96	"A set of ""before-and-after"" pictures shows a penny that shrank after it was put in a microwave."	Will Putting a Penny in a Microwave Cause the Coin to Shrink?
3272	Amazon chose San Diego as the site for its second headquarters, a.k.a. 'HQ2.'	Did Amazon Choose San Diego For Its ‘HQ2’?
3101	Actor Gene Hackman said Donald Trump 'could easily turn out to be one of the best presidents America has ever seen.'	Did Gene Hackman Say Trump ‘Could Easily Turn Out to Be One of the Best Presidents’?
8756	The Clinton campaign paid Beyonce and Jay Z $62 million to perform a concert in Cleveland.	Clinton Campaign Paid Beyonce and Jay Z $62 Million for Cleveland Concert to Secure Black Votes
111	A video shows Black Lives Matter protesters in Charlotte attacking and beating a homeless vet.	Black Lives Matter Protesters Beat Homeless Veteran
1568	A hundred ISIS terrorists were caught in Guatemala as a migrant caravan headed north to the United States.	Were 100 ISIS Terrorists Caught in Guatemala as a Central American Caravan Headed to the US?
1410	A doctor operated for free on a girl who years earlier had given him a glass of milk.	Dr. Howard Kelly and the Glass of Milk
5639	In 1988 author Roald Dahl penned an open letter urging parents to have their children vaccinated against measles.	Did Roald Dahl Urge Parents to Vaccinate Their Children?
2956	A woman narrowly escaped an abduction attempt at the Coon Rapids Walmart in Minnesota.	Coon Rapids Walmart Trafficking Warning
5678	In April 2019, Nike re-hired Michael Vick, a former NFL player who served prison time for facilitating dogfighting.	Did Nike Just Re-Hire Michael Vick?
8658	The 'Dr. Phil Show' guest known as the 'Cash Me Outside' girl committed suicide.	Did Dr. Phil’s ‘Cash Me Outside’ Girl Commit Suicide?
7259	Photographs show a barn full of vintage automobiles discovered by the purchaser of a Portuguese farmhouse.	Did a Homebuyer Discover a Barn Full of Classic Cars on His Property?
9058	The Taco Bell fast food chain is closing all of their locations.	Taco Bell Announcing Bankruptcy, All Stores Closing by 2018?
1346	A commencement speech by the Commanding Officer of Fort Benning touched off riots that killed 11 people.	General’s Controversial Graduation Speech Sparks Riots, 11 Killed
6988	Photograph shows Michelle Obama with her daughters draped in South African colors at the 2012 Olympics.	Michelle Obama and Daughters at the 2012 London Olympics
4294	Congress is 'moving to appoint Barack Obama to a third term' in 2016	Terms of Service
6117	Letter from Ann and Nancy Wilson of Heart castigates John McCain for using their “Barracuda” as a campaign song.	Cease and Desist, You Old Fart
537	Photographs show walls around the homes of President Obama, Hillary Clinton, Nancy Pelosi, Dianne Feinstein and Maxine Waters.	Did These Politicians Build Walls Around Their Homes?
2701	A video documents the U.S. Navy's wasteful practice of launching pickup trucks into the water.	Did the US Navy Launch Pickup Trucks Into the Water?
8352	SoberK	Sober K Virus
815	'Scarface' is being remade with Leonardo DiCaprio cast as Tony Montana.	Scarface Remake Starring Leonardo DiCaprio?
8763	The Corporate Angel Network, an organization that coordinates free air travel for cancer patients, began when Coca-Cola executives arranged for the U.S. Navy’s Blue Angels to fly a liver from San Diego to Houston in time for transplant into a little girl.	Corporate Angel Network Origin
10186	Wendy’s hamburgers contain horse meat.	Wendy’s Restaurants Admits Burgers Are Made with Horse Meat
7601	President Bush has appointed W. David Hager, a physician and anti-abortion activist, to an FDA committee on reproductive drugs.	W. David Hager
1975	A photograph shows Arnold Schwarzenegger's first day in New York.	MISCAPTIONED: Arnold Schwarzenegger’s First Day in NYC
762	Vice President Joe Biden was refused service at the Crumb and Get It cookie shop in 2012.	Was Joe Biden Refused Service at ‘Crumb and Get It’ in 2012?
9331	The first three digits of a bar code indicate a product's country of origin.	Can You Determine a Product’s Country of Origin by Its Bar Code?
9260	The consumption of hot cross buns has the potential to affect breathalyzer readings.	Can Eating Hot Cross Buns Trigger False Positive Breathalyzer Results?
5889	January is the primary 'break-up' month for couples.	Is January the Break-up Month?
9141	The United States government canceled an $80 million contract with sports apparel manufacture Nike, Inc. because the company 'hates America' and 'disrespects dead veterans.'	Did the Federal Government Cancel an $80 Million Nike Contract?
7625	President Donald Trump has targeted the family of California Senate President Pro Tempore Kevin de León for deportation.	Did President Donald Trump Target a Democratic State Senator’s Family for Deportation?
8913	The Make-a-Wish Foundation will donate 7¢ per per e-mail forward towards the care of 21-year-old Bryan Warner, who is dying of lung cancer and a brain tumor.	Bryan Warner
7498	Police have officially approved a series of steps you can take to avoid criminal charges when breaking a window to save a dog or baby from a hot car.	Did Police Give Instructions for Citizens Rescuing Dogs from Hot Cars?
10004	Vice President Mike Pence was kicked out of Iceland due to his religious beliefs.	Was Mike Pence Kicked Out of Iceland?
1358	A contestant on 'Who Wants to Be a Millionaire' needed audience assistance in defining 'horsepower,' as opposed to 'llamathrust' and 'zebraforce.'	Did a Game Show Contestant Need Help Distinguishing Horsepower From ‘Llamathrust’?
1907	A photograph captures a selfie Jimi Hendrix took with Jim Morrison and Bruce Lee.	Is This a Selfie Jimi Hendrix Took with Jim Morrison and Bruce Lee?
2447	A racist caricature called 'Jigaboo' served as the original inspiration for the Mickey Mouse character.	Was Mickey Mouse Modeled After a Racist Caricature Named ‘Jigaboo’?
1688	A man locked in an unplugged freezer imagined himself freezing to death and died as a result.	Man Dies of Hypothermia in an Unplugged Freezer
821	'The Daily Stormer' called for a retaliatory 'troll storm' against Jews in Whitefish, Montana, whom they accused of causing economic hardship to the parents of white supremacist Richard Spencer.	White Supremacist Web Site Calls for Online Attacks Against Jews in Whitefish, Montana
7915	Queen Elizabeth II wore a Burmese Ruby Tiara as a slight against U.S. President Donald Trump.	Did Queen Elizabeth II ‘Troll’ President Trump with Her Tiara?
539	"Phyllis Schlafly once said, ""There will be a woman president over my dead body.""  "	Phyllis Schlafly Said, ‘There Will Be a Woman President Over My Dead Body’?
2153	A photograph shows a group of women wearing 'I'm a Racist Bitch' T-shirts in support of U.S. President Donald Trump.	Are These Trump Supporters Wearing ‘Racist Bitch’ T-Shirts?
10127	Wal-Mart employees must pony up to buy flags, flagpoles, and floodlights, or else their stores have to do without American flag displays.	Wal-Mart American Flags
10131	Wal-Mart resold toys left with it to be donated to needy kids.	Wal-Mart Resells Donation
9155	The Walking Dead actress Danai Gurira contracted Ebola while filming on location in Africa.	Walking Dead Actress Contracts Ebola While Filming Scene in Africa
149	A widely shared image is an authentic photograph that shows a Hanukkah menorah displayed in the home of a Jewish family in Nazi Germany in 1932.	Does a Photo Show a Menorah Displayed in Defiance of Nazism?
6572	NASA shuttle astronauts conducted sex experiments in space.	Oliver Tryst
5933	Jodi Arias was granted an early release from prison after an incident with correctional officers	Was Jodi Arias Released from Prison After ‘Incident’ with Correctional Officers?
3484	An image shows Melania Trump and Ivanka Trump wearing see-through shirts.	Melania Trump, Ivanka Trump Wearing Transparent Shirts
6159	List details five little-known but useful functions associated with cell phones.	Things You Never Knew Your Cell Phone Could Do
1796	A motorist mistook a Dustbuster vacuum cleaner for a Fuzzbuster radar detection device.	Dustbuster Mistaken for Fuzzbuster
9357	The government understates the unemployment rate because they report how many people are collecting unemployment insurance rather than how many people are out of work.	Understated Unemployment
3519	An image shows the difference between a lithium mine and an oil sands installation.	Lithium Mine vs. Oil Sands Extraction
1632	A little girl gives her parent a gold-wrapped box filled with kisses, then dies.	Gold Paper Box
10261	Woman who suffers a seizure clamps down on the penis of the man she’s orally pleasuring.	Bitten Penis
3935	British waterpark Waterworld has demanded parkgoers dress in an 'Islamically appropriate' fashion because Muslim visitors were offended by bikinis.	Did a British Waterpark Ban Bikinis Because Muslims Were Offended?
3246	Albert Einstein switched places with his chauffeur for a speaking engagement, then fielded a question directed to the man the audience thought was him.	Albert Einstein Switches Places with His Chauffeur
8107	Salvation Army bell-ringers keep a portion of the monies deposited into their kettles.	Do Salvation Army Bellringers Keep Money They Collect?
6351	Members of the Congressional Prayer Caucus sent President Obama a letter correcting his reference to E pluribus unum as the U.S. national motto.	National Motto Letter to President Obama
10077	Video shows a woman being hit by a car after fleeing her home from a prank intruder.	Exhibit B-5: Girl Gets Hit by Car After Prank Goes Wrong
3717	Australian officials are deploying a genetically-modified vaccine aerially without consent from residents.	Is Australia Using Chemtrails to Forcibly Vaccinate its Residents?
31	A baby giraffe that earned viral fame in April 2017 passed away a month after birth.	Famous Baby Giraffe Passes Away Only a Month After Birth?
9479	The pastor of the church attended by Senator Hillary Clinton was convicted of child molestation.	Pastor Present
9175	The World Health Organization has listed being single as a disability under their definition of infertility.	Did WHO Define Being Single as a Disability?
5699	In February 2018, a pride of lions killed and ate a man suspected of being a poacher near Kruger National Park in South Africa.	Did a Pride of Lions Kill and Eat a Suspected Poacher in South Africa?
3111	Actor Jamie Foxx said of his upcoming film, “I kill all the white people in the movie … How great is that?”	Jamie Foxx
1213	A U.S. surgeon who exposed “Clinton Foundation corruption in Haiti” was found dead in his home under suspicious circumstances.	Did a Surgeon Who Exposed ‘Clinton Foundation Corruption in Haiti’ Die a Suspicious Death?
9590	The suicide bombing attack at the Ariana Grande concert in Manchester, England was a hoax.	Was the Manchester Terror Attack a ‘False Flag’?
9104	The U.S. Supreme Court is deliberating a petition seeking to overturn the results of the 2016 presidential election due to purported Russian interference.	Is the Supreme Court Deciding Whether to Nullify the 2016 Election?
10091	Vietnam veteran (and former POW) Admiral Jeremiah Denton was prevented from speaking before the California Assembly on Independence Day 2004.	Jeremiah Denton
4395	Dakota Access pipeline protesters at Standing Rock have been sprayed with chemicals by crop duster planes.	Have Standing Rock Protesters Been Sprayed with Chemicals From Crop Duster Planes?
6030	Kellogg's released a 'Ranch Pop-Tart.'	Did Kellogg’s Release Ranch-Flavored Pop-Tarts?
272	Democratic legislators passed a bill to fund college for undocumented immigrants using taxpayer money.	Did Democrats Pass a Bill That Funds College for ‘Illegal Immigrants’ Using Taxpayer Money?
9001	The Orange County chapter of the American Red Cross declined to allow an invited musical troupe to performs songs such as “God Bless the USA” at an awards luncheon.	Red Double-Cross
506	Nike workers in Vietnam earn 20 cents per hour, work 70 to 80 hours per week, and are 80 percent female.	Do Nike Factory Workers in Vietnam Earn 20 Cents Per Hour?
6057	Kohl's department stores are distributing free $150 coupons online as part of a 'Black Friday' promotion.	Kohl’s $150 ‘Black Friday’ Coupon Scam
5801	In the last ten years no one has died of measles in the U.S., but more than 100 people have died due to the MMR vaccine.	In 2003 Were the Only Reported Measles Deaths Caused by the Vaccine?
3446	An eruption of carbon dioxide from a lake killed hundreds of people.	Carbon Dioxide Deaths
5358	Hackers seize control of Facebook accounts to post insulting messages on the walls of friends of those whose accounts they've taken over.	New Hackers on Facebook
1404	A diligent student found a hidden reward tucked away in an academic work.	Free Car Prize Hidden in Textbook
7931	Radio talk show host Neal Boortz delivered a controversial commencement speech at Texas A&M.	Neal Boortz’s Texas A&M Commencement Address?
6915	People have died laughing.	Have People Died Laughing?
5196	Fox News contributor Michelle Fields said that 'we shouldn't just give money to people simply because they are old.'	Michelle Fields on Social Security
9934	UK Conservatives posted signs vowing they would 'cut all homeless people in half' by 2025.	Did UK Conservatives Vow to ‘Cut All Homeless People in Half’?
2906	A well-endowed young lady becomes more and more well-endowed as her inflatable bra swells during a long flight.	Exploding Brassiere
2977	A woman was nearly kidnapped by human traffickers using a ring placed on her windshield as bait.	Warning: Kay Jewelers Free Ring Gift
1289	A broadcast by Houston’s KLEE-TV was received by viewers in England three years after the station had gone off the air.	KLEE Station Identification
10163	We fact-check a popular meme outlining the purported benefits of living in Sweden.	‘I Live in Sweden’: Facts About Swedish Society and Health Care
3034	Abortion rates drop during Democratic presidencies and rise during Republican administrations.	Abortion Rates Fall During Democratic Administrations and Rise During Republican Ones
8213	Senate Democrats unanimously voted for a bill cutting veterans' pensions.	Did Senate Dems Vote En Masse to Cut Veterans’ Pensions?
2089	A photograph shows a Texas Dept. of Public Safety boat equipped with machine guns on the Rio Grande.	Does the Texas DPS Have Armed Patrol Boats on the Rio Grande?
6320	McDonald’s restaurants will be placing Michelle Obama’s image on their drink cups.	Michelle Obama’s Face on McDonald’s Cups?
9194	The arrival of a telegram announcing a death leads to the demise of the rest of the family.	Bad News Bearers
1042	A Facebook message requesting Christmas cards for 8-year-old burn victim Safyre Terry is legit.	Is Safyre Terry’s Christmas Wish a Scam?
3063	Account describes entrepreneur Sam Walton's efforts to evade paying his employees minimum wage.	Sam Walton and Minimum Wage
4502	Doctors let die those patients who’ve indicated they’ll donate their organs.	Organ Donors Not Saved
2915	A widely-circulated essay known as “The Paradox of Our Time” was penned by George Carlin.	The Paradox of Our Time
1466	A film producer claimed actor Kevin Spacey had 'drugged and raped' Justin Bieber.	Did a Producer Claim Kevin Spacey ‘Drugged and Raped’ Justin Bieber?
3202	After a spectator at a Fourth of July celebration in Philadelphia told President Bush that he was “disappointed” with his work, the President responded, “Who cares what you think?”	Who Cares What You Think?
5589	Image reproduces a test scoresheet showing Sarah Palin’s high school grades and SAT scores.	Sarah Palin’s Test Results
719	Three million non-citzens voted illegally in the 2016 presidential election.	Three Million Votes in Presidential Election Cast by ‘Illegal Aliens’?
4996	Facebook is banning atheists from their social network to reduce cyberbullying.	Facebook to Ban Atheism from Their Social Network Over Cyber Bullying
6893	Paul Simon took the title of his song “Mother and Child Reunion” from the name of a chicken-and-egg dish he spotted on a Chinese restaurant’s menu.	Mother and Child Reunion
6025	Keanu Reeves lamented the objectification of women in an uncharacteristic way.	Keanu Reeves ‘Prostitutes’ Quote
2197	A photograph shows a new 'Energy Ham' product from Monster Energy.	Is Monster Energy Selling Caffeinated Ham?
1145	A Pepsi employee in South Bend, Indiana was improperly terminated; while managers claimed he stole a case of soda, other employees confirmed the family's needs placed a fiscal burden on the company.	Pepsi South Bend Firing Incident Controversy
4984	Facebook and CNN are contributing money towards the medical care an infant car accident victim every time a message is shared.	Facebook/CNN Car Accident Appeal
3963	Buzz Aldrin said that his greatest achievement was successfully restraining himself from punching President Trump.	Did Buzz Aldrin Say Not Punching Donald Trump Was His Greatest Achievement?
2950	A woman mistakenly uses her daughter’s glitter spray instead of feminine deodorant in preparation for a visit to the gynecologist.	Glitters Spray
5620	Immigrants who illegally crossed into the U.S. at the Mexico border are the cause of measles outbreaks in 2019 in the U.S.	Are ‘Illegal Immigrants’ to Blame for Measles Outbreaks Across the U.S.?
2556	A spectator at a football game was killed by a flying model lawnmower.	TRUE: Flying Lawnmower Death
7026	Photograph shows a McDonald’s sign expressing support for Chick-fil-A.	McDonald’s Supports Chick-fil-A
3235	Alan Rickman stated he envisioned sitting in a rocking chair at 80, reading 'Harry Potter' books to his grandchildren.	Alan Rickman Rocking Chair Meme
4258	Comedian Chris Rock originated a quip about the best golfer in the world being black and the best rapper being white.	Chris Rocked on Best Golfer
6892	Paul Ryan's wife Janna is a secret liberal who voted for Obama twice.	Paul Ryan’s Wife Is a Liberal Who Voted Twice for Obama?
5619	Immigrants 'invaded' a beach, leaving beachgoers 'shocked.'	Did Migrants ‘Invade’ a Beach in Broad Daylight?
8518	Supereme Court Justice Ruth Bader Ginsburg has been rushed to a hospital in an unresponsive state.	Ruth Bader Ginsburg Taken to Hospital Unresponsive?
7531	Pope Francis holds an advanced degree in chemistry.	FALSE: Pope Francis Has a Master's Degree in Chemistry
2867	A videos shows the step-by-step process of making a lemon-pomegranate hybrid fruit.	Does This Video Show a Lemon-Pomegranate Hybrid Plant?
5405	Hillary Clinton and John Podesta practice a satanic ritual known as 'spirit cooking.'	Was Clinton Campaign Chairman John Podesta Involved in Satanic ‘Spirit Cooking’?
4517	Domino’s Pizza financially supports Operation Rescue, an anti-abortion group.	Domino’s Pizza and Operation Rescue
